# **************************************************
# Quartus Prime Version 23.4.0
# Process ID 25845
# Start logging UI actions
# Tue Aug 13 13:56:52 2024
# **************************************************
[Tue Aug 13 13:56:55 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition' | &File > 'Open P&roject...' was pressed
[Tue Aug 13 13:56:58 2024] Window title: 'Open Project' | QPushButton '&Open' pressed!
[Tue Aug 13 13:57:16 2024] Window title: 'Quartus Prime' | QPushButton '&Yes' pressed!
[Tue Aug 13 13:57:18 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | P&rocessing > 'Compilation Dashboard' was pressed
[Tue Aug 13 14:01:08 2024] [Compilation Dashboard] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | 'report_viewer' button for task 'sta_signoff' clicked
[Tue Aug 13 14:01:08 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | P&rocessing > 'Compilation &Report' was pressed
[Tue Aug 13 14:01:13 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | &Window > '&Detach Window' was pressed
[Tue Aug 13 14:01:48 2024] [Compilation Dashboard] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | Start button for task 'run1' clicked
[Tue Aug 13 14:01:49 2024] Window title: 'Quartus Prime' | QPushButton '&Yes' pressed!
[Tue Aug 13 14:01:49 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | P&rocessing > 'Compilation Dashboard' was pressed
[Tue Aug 13 14:36:42 2024] Window title: 'Report Clock Domain Crossing Viewer' | QCheckBox 'Report panel name:' was checked
[Tue Aug 13 14:36:42 2024] Window title: 'Report Clock Domain Crossing Viewer' | 'File options': QRadioButton 'Overwrite' was checked
[Tue Aug 13 14:56:36 2024] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | QCheckBox '' was checked
[Tue Aug 13 14:57:04 2024] [Compilation Dashboard] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | 'report_viewer' button for task 'sta_signoff' clicked
[Tue Aug 13 14:57:04 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | P&rocessing > 'Compilation &Report' was pressed
[Tue Aug 13 14:57:10 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | &Window > '&Detach Window' was pressed
[Tue Aug 13 15:09:22 2024] Window title: 'Do You Want To Reload The File?' | QPushButton '&Yes' pressed!
[Tue Aug 13 15:11:02 2024] [Compilation Dashboard] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | Start button for task 'run1' clicked
[Tue Aug 13 15:11:02 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | P&rocessing > 'Compilation Dashboard' was pressed
[Tue Aug 13 15:46:04 2024] Window title: 'Report Clock Domain Crossing Viewer' | QCheckBox 'Report panel name:' was checked
[Tue Aug 13 15:46:04 2024] Window title: 'Report Clock Domain Crossing Viewer' | 'File options': QRadioButton 'Overwrite' was checked
[Tue Aug 13 16:03:38 2024] [Compilation Dashboard] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | 'report_viewer' button for task 'sta_signoff' clicked
[Tue Aug 13 16:03:38 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | P&rocessing > 'Compilation &Report' was pressed
[Tue Aug 13 16:03:41 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | &Window > '&Detach Window' was pressed
[Tue Aug 13 16:13:58 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | &Assignments > 'Pi&n Planner' was pressed
[Tue Aug 13 16:14:08 2024] [Action triggered] Window title: 'Pin Planner Pro Edition' | 'Selection Tool' was checked
[Tue Aug 13 16:14:32 2024] [Action triggered] Window title: 'Quartus Prime Pro Edition - /home/yaagna/intel_esp/esp/socs/intel/quartus/top - top [*]' | &Tools > 'Interface Planner' was pressed
[Tue Aug 13 16:20:49 2024] Window title: 'Initialization Complete' | QPushButton 'OK' pressed!
[Tue Aug 13 16:21:39 2024] Window title: 'Assignments Applied' | QPushButton 'OK' pressed!
[Tue Aug 13 16:21:55 2024] Window title: 'Floorplan Valid' | QPushButton 'OK' pressed!
[Tue Aug 13 16:22:25 2024] Window title: 'Close Project' | QPushButton 'Discard and Close' pressed!
